#18267	#123301	0
#302927	#208872	0
pneumatic tyre	neumático	0
#292051	#255039	0
#177127	#58171	0
#195919	#275049	5
#79214	#79477	0
account for	justificar	0
#19973	#56141	0
#157052	#107033	0
#119409	#310141	0
#140190	#208045	0
long time	larga data	0
economic system	economía	0
#116284	#262445	4
#73664	#111795	0
#59640	#31666	0
subversive activity	actividad subversiva	5
infringement	contravención	0
#142989	#314787	5
#33165	#97688	5
fortnightly	quincenal	4
neurological	neurológico	3
work accident	accidente de trabajo	3
opportunism	oportunismo	3
uncovering	descubrimiento	0
#132051	#220278	0
desertion	defección	0
#150441	#4319	0
#73203	#30880	0
special zone	zona especial	3
#141828	#58451	0
bicycle	bicicleta	5
fill up	rellenar	0
#178699	#231319	4
prominence	saliente	0
#28485	#55708	3
cerebrovascular	cerebrovascular	5
#39487	#88747	0
#326871	#135337	5
biomaterial	biomaterial	0
#26604	#202389	0
reclassification	reclasificación	4
cinematographic	cinematográfico	4
#28414	#315043	4
#79696	#38397	5
#46572	#65172	5
motorized vehicle	vehículo de motor	0
farm worker	peón agrícola	0
#86653	#80931	0
#95581	#115343	0
fossil	fósil	5
#15859	#45030	3
pentachlorophenol	pentaclorofenol	0
#317583	#309132	0
stereotyped	trillado	0
#30945	#70930	0
#189627	#94682	0
#37498	#9913	0
#57201	#310732	0
pursuit	acechanza	0
#24232	#51678	5
#194203	#205865	0
#93743	#42157	4
chemical processes	proceso de transformación	0
turbinate	cornete nasal	0
#84971	#2648	0
#59851	#123714	3
#72389	#262357	0
insulin	insulina	4
#216911	#1009	0
#48062	#57624	5
intelligence agent	agente secreto	0
#157374	#59479	4
sabbatical	año sabático	5
composed	relajado	0
#37726	#234193	0
transcend	superar	0
ensign	pabellón	0
bloody	ensangrentar	0
gateway	puerta	0
troops	milicia	2
contract of employment	relación de trabajo	0
#80313	#210566	0
secessionism	secesionismo	0
rationalise	sincerar	0
#39504	#34112	0
overhead	transparencia	0
opposed	contrapuesto	0
pap smear	citología vaginal	0
raft	balsa	0
fragmentary	fragmentario	0
#43576	#119382	0
infamy	mala fama	0
stylistic	estilístico	1
#164969	#16324	5
military man	militar	0
trained nurse	auxiliar técnico	0
gear up	preparar	0
#1368	#222519	0
#190403	#207699	0
#317287	#310201	3
#201777	#281075	0
#44052	#25714	0
malign	malicioso	0
#127928	#201814	1
#154618	#95854	0
#374514	#106416	0
#74113	#133105	0
#34106	#96126	0
#81990	#89945	5
#28088	#43974	0
#132186	#48433	0
impartial	equitativo	0
#28167	#39634	0
#75867	#132169	0
#151391	#9018	0
#61898	#4520	0
cell phone	teléfono celular	5
#43319	#120992	5
twisting	sinuoso	0
continuous function	función continua	0
#123643	#66443	0
ignite	encender	0
#91474	#63202	0
base pay	salario base	4
deflagration	disparo de bala	0
#30152	#246220	4
alternation	alternancia	2
alacrity	buena voluntad	0
#37191	#201369	0
#192045	#204815	0
#158743	#103783	5
heli	helicóptero	0
unchecked	desbordado	0
#44985	#121892	4
social class	clase social	5
emission standards	norma de emisión	0
user interface	interfaz de usuario	4
#76282	#5942	0
troubled	dichoso	0
#44865	#69896	5
married life	convivencia conyugal	0
#188814	#38775	0
chamber music	música de cámara	0
evening	tarde	0
old people's home	geriátrico	0
chromatid	cromátida	0
#143407	#313760	4
oxidizing	oxidante	5
geopolitical	geopolítico	4
dairy farmer	lechero	0
kindness	cortesía	0
building site	solar	0
#178024	#42597	0
#99764	#41039	0
radiant	fulgurante	0
psychoanalytical	psicoanalítico	0
#14914	#235989	4
marvellous	prodigioso	0
#82426	#42580	0
radial	radial	0
#66836	#115165	0
coalition cabinet	gobierno de coalición	0
#17624	#69271	5
north west	noroeste	0
measurement	tamaño	0
#178296	#40737	0
agriculture	cultivo	0
dating	datación	0
announcer	locutor	0
physical medicine	rehabilitación	0
#95507	#109847	0
return on investment	rendimiento de la inversión	4
#65857	#235678	5
#45623	#122399	5
associate professor	profesor asociado	2
#17134	#29736	0
#93754	#273590	0
ladder	escalera	1
#191001	#62911	0
wrap up	revolver	0
#153840	#311781	0
#387	#239053	0
#46546	#236960	0
right hand	mano derecha	5
radio emission	onda radioeléctrica	0
notary	notario	5
#59745	#78752	0
#34081	#17225	0
fallibility	falibilidad	1
#191363	#203184	0
pact	tratado	0
liaison	contacto	1
#142288	#111116	0
hence	por ende	5
#76106	#79743	5
base year	año base	0
#38085	#28681	0
#77579	#90541	0
sensuality	sensualidad	0
#178477	#253113	5
mobbing	mobbing	3
sheet	carta	0
hedging	seto	0
#157798	#222120	0
approximately	cosa de	0
xiv	catorce	0
destruction	ruina	0
#18557	#4259	0
#65301	#3185	0
inefficient	inconducente	0
#76552	#89770	3
arrondissement	arrondissement	0
negro	moreno	0
sulphur	azufre	3
copy	copia	5
elite	élite	4
nail	uña	0
anxiety	ansia	0
neptunium	neptunio	5
#150646	#6167	1
rarity	infrecuencia	0
#62029	#314462	0
frugal	frugal	5
#96425	#16282	0
day of remembrance	aniversario	0
male person	pantalones	0
equipment failure	avería	0
sculpture	esculpir	0
blow up	saltar	0
#1093	#12862	3
beggar	mendicante	0
#32030	#67293	4
#160018	#4186	0
raw	desnudez	0
#221259	#201807	0
#141896	#65883	0
increase in capital	aumento de capital	0
mechanism	mecanismo	5
self-service	autoservicio	5
#4077	#35337	4
#170677	#43336	0
#57152	#96224	0
#97730	#79479	5
rationalisation	sistematización	0
#142254	#11889	0
paid	lucrativo	0
immediate	célere	0
moss	musgo	0
tract	sistema	0
geographic information system	sistema de información geográfica	5
train station	estación de ferrocarril	4
shut-down	cierre	0
oppress	vejar	0
#46151	#79764	4
#92234	#64356	2
#91682	#36115	1
#69447	#10896	0
transshipment	trasbordo	5
#5034	#4082	0
indiscipline	insumisión	0
#92795	#8773	0
#64748	#11357	5
rediscovery	reconsideración	0
#27759	#120918	0
#73911	#111960	0
stores	retén	0
miniaturize	miniaturizar	0
#83044	#3702	0
evapotranspiration	evapotranspiración	5
#160374	#2878	3
#16183	#135754	0
gratify	llenar	0
righteousness	integridad moral	0
#94594	#13197	0
downpour	chaparrón	0
#79280	#109446	4
#94841	#106642	0
tailor	sastre	0
roundabout	glorieta	0
#138371	#201671	5
#23300	#61565	0
#29712	#33545	0
enemy	enemigo	5
overbearing	imperativo	0
#303672	#308727	0
#16823	#208528	0
#137591	#27	0
#96540	#23301	5
#57946	#93722	5
#94522	#78821	0
input-output analysis	análisis insumo-producto	0
#90310	#41770	0
maximum	apogeo	0
accused	encausado	0
seal	foca	0
antimony	antimonio	0
#38501	#231593	4
marginalization	exclusión social	4
#323868	#36288	5
contrary	contrario	4
#62117	#32195	4
#82364	#129039	0
#68606	#52371	0
#187022	#39356	1
erne	pigargo	0
chop off	segar	0
contort	retorcer	0
wh	vatio hora	0
#85818	#108510	0
half-hearted	tibio	0
#182233	#59819	0
#171817	#13906	0
shop window	escaparate	0
resistant	inalterable	0
geographical zone	zona geográfica	0
#283535	#25305	0
#178134	#219127	0
#9837	#235459	3
entrenchment	atrincheramiento	0
let	consentir	0
#54492	#77709	0
#26962	#260718	4
budgetary	presupuestal	0
#92516	#5565	0
#118512	#40173	0
#191954	#24980	0
#97464	#42478	0
exceptionality	excepcionalidad	0
#30047	#30963	0
satisfaction	complacencia	0
#37993	#237136	0
#167306	#100339	0
#18121	#72660	0
cardboard	cartón	0
contraception	contracepción	0
testimonial	recomendación	0
mobilization	movilización	5
breath	aliento	0
#78629	#111	0
#194389	#252101	0
divisionism	divisionismo	5
exempt	exentar	0
#69781	#131867	5
donee	beneficiado	0
#78757	#220563	4
#44512	#31874	0
paying	ingreso	0
#85143	#91035	0
#266729	#49490	0
#70109	#8581	5
#157789	#9540	0
#87617	#37752	0
#117357	#105791	0
#34295	#71519	3
#179126	#4160	0
#14069	#251465	0
terephthalate	tereftalato	0
#75813	#58895	0
sincere	franco	0
#90456	#218547	0
commander	comandante	5
unit cost	coste unitario	0
#35654	#16701	0
#35715	#138	0
#98607	#42622	5
grant	otorgamiento de subsidios	0
#61808	#85590	0
#1656	#21338	0
terrorism	terrorismo	2
fatalism	fatalismo	0
privileged	privilegiado	5
#86446	#218409	0
percolation	percolación	0
#157632	#66752	0
#129550	#101781	5
#89410	#85178	0
paediatrician	pediatra	5
colour	color	5
#24571	#248855	0
#317460	#314504	0
thought	pensamiento	1
#70636	#253055	5
pedagogics	pedagogía	0
#90290	#91825	4
ambassador	embajador	4
#146667	#2429	0
soft wheat	trigo blando	0
#11135	#77013	0
censurable	censurable	0
#194569	#135659	0
#23277	#12695	0
out-migration	migración	0
personal data	datos personales	5
#78055	#89772	0
#34711	#40086	3
adrenal	adrenal	0
#86069	#3505	0
open account	cuenta corriente	0
reformer	reformista	2
#192165	#41796	3
#23907	#127355	0
#77987	#131348	0
transformation	transformación	5
around	en torno a	2
#15996	#208647	0
#90002	#64151	0
aerospace	región aérea	0
text-book	libro de texto	0
#19812	#201217	0
file server	servidor	0
#174441	#354	0
police car	coche patrulla	0
#126876	#254146	0
#24484	#200126	0
#15581	#89165	0
daylight	luz del día	0
#84189	#56010	0
#30388	#1478	1
#294152	#201207	0
#208736	#310491	5
#24395	#30900	5
mutation	evolución	0
#75438	#53350	0
prog	emisión	0
geostationary orbit satellite	satélite geoestacionario	0
unscripted	improvisado	0
disinformation	desinformación	2
#43612	#246502	1
#59345	#217631	4
#33379	#32750	0
orthesis	ortosis	0
germplasm	plasma germinal	4
predisposition	aptitud	0
gallium	galio	0
mixer	licuadora	0
netbook	netbook	0
land reform	reforma agraria	4
quietly	piano	0
#159705	#199327	3
caretaker	guardador	0
widower	viudo	0
diesel oil	gasóleo	5
#32154	#59517	2
nonsmoker	no fumador	0
#149282	#6955	0
#200262	#70045	0
#31377	#11689	5
#97674	#104718	5
panorama	panorama	0
#113518	#222858	0
metabolise	metabolizar	0
debilitate	debilitar	0
att.	atención	0
funnel	embudo	0
abysmal	abismal	0
#43769	#3105	0
lodgings	domiciliación	0
organic fertilizer	abono orgánico	5
otter	nutra	0
#166353	#95618	0
harvester	segador	0
#89736	#77411	5
#95772	#5949	4
trade organization	asociación profesional	0
business card	tarjeta de visita	0
#19653	#16129	0
#79164	#315283	3
#2298	#201153	0
fellow	muchachito	0
in-between	medio	0
#185564	#328	5
economic value	valor	0
#166035	#9641	0
#68667	#85916	0
#97953	#69209	0
#47094	#23102	0
express mail	correo urgente	0
til	ajonjolí	0
field	llanura	0
department	fiscalía	5
#75807	#97355	3
mediaeval	medieval	4
testate	testador	3
#20486	#63327	0
favourite	predilecto	0
mulch	hojarasca	0
#150193	#78918	0
#25475	#207744	0
#187587	#216833	0
breathing apparatus	respirador	0
do without	renunciar	0
#88177	#12551	0
#127501	#51929	0
#67119	#8980	0
ordination	ordenación	0
uneducated person	tosco	0
#137775	#231459	5
#129781	#71772	0
